stem,ESCNet-B5_mae,Light-B2-C64_mae,Light-B2-C64_minus_ESCNet-B5_mae
camourflage_01001,0.020790,0.020457,-0.000333
camourflage_01003,0.009232,0.008300,-0.000932
camourflage_01004,0.080710,0.083365,0.002655
camourflage_01006,0.049936,0.084084,0.034148
camourflage_01008,0.019527,0.031972,0.012445
camourflage_01009,0.093760,0.154454,0.060694
camourflage_01014,0.047129,0.066246,0.019116
camourflage_01016,0.196896,0.266115,0.069219
camourflage_01018,0.073649,0.095979,0.022329
camourflage_01020,0.011142,0.006708,-0.004434
camourflage_01021,0.105853,0.128818,0.022964
camourflage_01023,0.049907,0.078926,0.029019
camourflage_01025,0.009482,0.015184,0.005702
camourflage_01027,0.092751,0.096091,0.003340
camourflage_01030,0.141614,0.146539,0.004925
camourflage_01032,0.031885,0.039117,0.007232
camourflage_01034,0.017739,0.047294,0.029555
camourflage_01041,0.011491,0.022470,0.010979
camourflage_01044,0.013147,0.013293,0.000146
camourflage_01046,0.041267,0.031910,-0.009357
camourflage_01048,0.088050,0.081893,-0.006157
camourflage_01050,0.024397,0.024416,0.000020
camourflage_01052,0.054415,0.176913,0.122498
camourflage_01053,0.020360,0.012028,-0.008332
camourflage_01056,0.021356,0.022524,0.001169
camourflage_01058,0.012784,0.015156,0.002372
camourflage_01064,0.097473,0.155905,0.058432
camourflage_01066,0.122408,0.088784,-0.033624
camourflage_01067,0.140849,0.150825,0.009976
camourflage_01068,0.028197,0.045086,0.016889
camourflage_01070,0.066559,0.087457,0.020899
camourflage_01072,0.071384,0.089036,0.017652
camourflage_01074,0.045457,0.046969,0.001512
camourflage_01075,0.011366,0.015793,0.004427
camourflage_01078,0.041212,0.056485,0.015273
camourflage_01081,0.072437,0.036515,-0.035922
camourflage_01082,0.178530,0.195090,0.016560
camourflage_01087,0.145089,0.075531,-0.069558
camourflage_01090,0.021745,0.026986,0.005241
camourflage_01091,0.060028,0.095204,0.035176
camourflage_01094,0.056048,0.067372,0.011324
camourflage_01095,0.058285,0.103857,0.045572
camourflage_01096,0.055380,0.059320,0.003940
camourflage_01098,0.009297,0.044709,0.035412
camourflage_01100,0.062961,0.074645,0.011684
camourflage_01101,0.019354,0.033091,0.013737
camourflage_01103,0.014116,0.010362,-0.003753
camourflage_01104,0.016186,0.017863,0.001677
camourflage_01105,0.026247,0.023146,-0.003101
camourflage_01106,0.009008,0.010000,0.000991
camourflage_01107,0.024627,0.028855,0.004229
camourflage_01110,0.077910,0.040879,-0.037030
camourflage_01112,0.009061,0.012929,0.003868
camourflage_01113,0.014663,0.022522,0.007859
camourflage_01115,0.036076,0.037408,0.001332
camourflage_01116,0.012064,0.041001,0.028937
camourflage_01117,0.016117,0.008798,-0.007318
camourflage_01118,0.070044,0.067593,-0.002452
camourflage_01122,0.021623,0.019171,-0.002452
camourflage_01126,0.224161,0.272763,0.048602
camourflage_01128,0.024612,0.026837,0.002225
camourflage_01131,0.088419,0.106703,0.018284
camourflage_01132,0.014928,0.010989,-0.003939
camourflage_01133,0.056579,0.011537,-0.045041
camourflage_01135,0.031462,0.048738,0.017276
camourflage_01137,0.049553,0.026030,-0.023523
camourflage_01139,0.016124,0.016461,0.000336
camourflage_01140,0.028165,0.018676,-0.009489
camourflage_01141,0.304469,0.589189,0.284720
camourflage_01143,0.022546,0.021610,-0.000936
camourflage_01144,0.040749,0.056100,0.015351
camourflage_01145,0.015974,0.012139,-0.003834
camourflage_01148,0.011602,0.011621,0.000019
camourflage_01150,0.018449,0.032653,0.014204
camourflage_01151,0.009706,0.009271,-0.000435
camourflage_01154,0.056788,0.147171,0.090382
camourflage_01156,0.029778,0.045032,0.015254
camourflage_01158,0.114429,0.050555,-0.063874
camourflage_01159,0.046897,0.044649,-0.002248
camourflage_01161,0.076010,0.132159,0.056149
camourflage_01163,0.048005,0.040965,-0.007040
camourflage_01164,0.044665,0.091335,0.046671
camourflage_01165,0.112896,0.181956,0.069060
camourflage_01168,0.048627,0.269970,0.221343
camourflage_01170,0.457674,0.411342,-0.046332
camourflage_01172,0.037272,0.033711,-0.003561
camourflage_01175,0.086789,0.035772,-0.051017
camourflage_01177,0.040511,0.108042,0.067530
camourflage_01179,0.026227,0.031998,0.005772
camourflage_01180,0.196785,0.125717,-0.071069
camourflage_01181,0.019232,0.022864,0.003631
camourflage_01182,0.044176,0.064633,0.020457
camourflage_01183,0.066389,0.065598,-0.000791
camourflage_01185,0.165487,0.194779,0.029292
camourflage_01188,0.012215,0.013965,0.001750
camourflage_01189,0.012314,0.013079,0.000765
camourflage_01190,0.021557,0.015262,-0.006295
camourflage_01192,0.040630,0.045948,0.005318
camourflage_01193,0.087313,0.130219,0.042906
camourflage_01194,0.411613,0.360561,-0.051052
camourflage_01195,0.129086,0.129265,0.000179
camourflage_01196,0.068396,0.067994,-0.000402
camourflage_01199,0.005494,0.009024,0.003529
camourflage_01200,0.018095,0.008570,-0.009525
camourflage_01205,0.008702,0.011379,0.002677
camourflage_01208,0.017570,0.017014,-0.000556
camourflage_01210,0.035626,0.035579,-0.000047
camourflage_01211,0.008337,0.007066,-0.001271
camourflage_01217,0.064729,0.055215,-0.009515
camourflage_01235,0.032199,0.045078,0.012879
camourflage_01240,0.016344,0.013170,-0.003173
camourflage_01242,0.005961,0.005351,-0.000611
camourflage_01243,0.004742,0.007298,0.002556
camourflage_01244,0.004967,0.004334,-0.000633
camourflage_01245,0.006536,0.008532,0.001995
camourflage_01247,0.008903,0.009149,0.000246
camourflage_01250,0.018554,0.019857,0.001303
